,ID,SeleccionID,StatusConfirmacion,Nivel,Reto,Seleccion,TipoDeUsuario
9NGlKhRjptw3zjAgAAAB,,,,,,False,user
Cnx0CNL_vk2KYGkdAAAD,,,,,,False,user
Yct9YMdY0uBs8Q5TAAAB,,,,,,False,user
Pj5ls05M8zUQVFfGAAAB,,,,,,False,user
qgDT_poNxsqjtFmNAAAB,,,,,,False,user
qUMpGvOCke8ON4_6AAAB,,,,,,False,user
HumRdslqwmr2H1RvAAAD,,,,,,False,user
XK96RDasV6Z_d2HeAAAF,,,,,,False,user
Oegdl4S4XwvQ255SAAAH,,,,,,False,user
Xek-LUQGLjzkwrjwAAAB,,,,,,False,user
WHXiYsL6CZLLFX-0AAAB,,,,,,False,user
ldoSqP5WHxm7VZjfAAAB,,,,,,False,user
uk7eK2fBP0BeT9rUAAAD,,,,,,False,user
4mm0bjBUtTlBabfoAAAB,,,,,,False,user
szgWKDCJ7vjXobG3AAAD,,,,,,False,user
A2AVRbs6GguhNnr_AAAB,,,,,,False,user
_Syc-yV8lbctu9ZhAAAD,,,,,,False,user
pssXbrv5dgtUyykcAAAB,,,,,,False,user
QCyNJ_uMNfkSGm49AAAD,,,,,,False,user
pfct9ERGopP53wbWAAAD,,,,,,False,user
lCBcVKCydVQbaI9NAAAF,,,,,,False,user
LMzcZUMpWSLq4msFAAAB,,,,,,False,user
ixBlYgISTdMaXWiIAAAD,,,,,,False,user
Xmt8f9bzaS980VLFAAAD,,,,,,False,user
Kf2yHG2DJoo_FCInAAAB,,,,,,False,user
-Kcjcv5lwqU2Th7cAAAD,,,,,,False,user
rEmseCQzISHjO7CSAAAB,,,,,,False,user
bSKXAcEmjS2sEaCvAAAD,,,,,,False,user
TvuU5ewe3E6uURkPAAAC,,,,,,False,user
fq0tAo6AoxDtyQPrAAAF,,,,,,False,user
zCwV43o8mb-kJyCxAAAC,,,,,,False,user
rHm1ZUxxsv4N8JUJAAAD,,,,,,False,user
XIEqPK-q0hkPtMgdAAAB,,,,,,False,user
xzT8_hgm2R8i-zwSAAAD,,,,,,False,user
qv4jkcyv3bDGciaMAAAD,,,,,,False,user
yCXSSdrbU4Z3aQgYAAAB,,,,,,False,user
g6mlwGwv1u_QQKhRAAAD,,,,,,False,user
TekK7DrliaGWQ9v1AAAB,,,,,,False,user
vbfTyGhlQOvBaYMAAAAD,,,,,,False,user
W1VMG0rVhkAU5F7GAAAB,,,,,,False,user
kjZV24sgbKS-hyVHAAAD,,,,,,False,user
oHHgouHxz7toQf3wAAAB,,,,,,False,user
2Ey5-8D6rhbaWLAWAAAD,,,,,,False,user
X17MOf_cKBSOnLYuAAAB,,,,,,False,user
ezVBeUt41RovFw03AAAD,,,,,,False,user
EByTj6RNdv_qVPGtAAAD,,,,,,False,user
rdGdTznhJUf7kBKMAAAB,,,,,,False,user
xa-NOwYG5IN6zG1iAAAD,,,,,,False,user
xAn9UZ-Ksq3GwAJfAAAB,,,,,,False,user
1aZQBgpkrAzdvSPJAAAD,,,,,,False,user
CRd7ps0u0_RyBDjFAAAD,,,,,,False,user
hKWpSZnIeCqBWXT4AAAF,,,,,,False,user
3FmljlXLA6XcVESqAAAB,,,,,,False,user
ktYnMzlQDXEGpsCKAAAD,,,,,,False,user
iYXBXGSSMxI2iNNGAAAB,,,,,,False,user
Ya9KVWoy37vLoi1zAAAD,,,,,,False,user
G3s5vkytjWHe9uecAAAB,,,,,,False,user
J9RnFmTywoI4CmBLAAAF,,,,,,False,user
R-MBksImCxvVUvrtAAAF,,,,,,False,user
JncWz8firRLp2Oy_AAAH,,,,,,False,user
EoRQox_1d2gg_K8OAAAB,,,,,,False,user
mthhED_QZlieKuweAAAD,,,,,,False,user
7ywZuTl-gsXLC1HUAAAF,,,,,,False,user
EYPAnxsNMrj2Y8VXAAAH,,,,,,False,user
EirGQxFUK4A93_xrAAAD,,,,,,False,user
R3wCSgZCFrQK4vLKAAAB,,,,,,False,user
OkkIZqB0RFOjdv18AAAD,,,,,,False,user
fsXLLnRfvBwCOYTFAAAC,,,,,,False,user
QEBFGGi9dbHNvvFmAAAB,,,,,,False,user
AcOrpDsw3ucYiWCRAAAF,,,,,,False,user
1RrpcDJuhb3FmSB3AAAH,,,,,,False,user
APg81CzFXlxiplmXAAAB,,,,,,False,user
EG-72X_bOLQXxiMyAAAB,,,,,,False,user
d89aQ7z1Pw_TBLO-AAAD,,,,,,False,user
3oyrZJYhW6Z6g33MAAAB,,,,,,False,user
cO77eghonyXoG1dtAAAB,,,,,,False,user
P1pW3Be4vrXycnpvAAAD,,,,,,False,user
M-4z-99I4PpcCQt-AAAB,,,,,,False,user
CLa3W2EThDqkMHSTAAAD,,,,,,False,user
_7Ee1Iw8SBiryLUWAAAB,,,,,,False,user
nj7TD0oxhjf_g1GhAAAD,,,,,,False,user
vjMDItlg51Y3yKBUAAAF,,,,,,False,user
iELEDagqZqbuxj6lAAAH,,,,,,False,user
ov_xh4lDYKuLOSY3AAAH,,,,,,False,user
YlxyTHvigkqPJAeqAAAF,,,,,,False,user
kz4qtZviKne6NEI7AAAH,,,,,,False,user
CKHWOGTZ8rRHspSuAAAF,,,,,,False,user
4gTArBFvf971JS1aAAAH,,,,,,False,user
XA20GV6RSpsjCmSgAAAB,,,,,,False,user
bX4ijbfRsWA3dBULAAAD,,,,,,False,user
k2Om_6MwkKdE3pQxAAAB,,,,,,False,user
sC0xR1EfvPEALMypAAAD,,,,,,False,user
El_C7RS8_FptzfubAAAB,,,,,,False,user
CJ-B3AHtEiST8g4NAAAD,,,,,,False,user
ti4kZl9YFdH8t_SvAAAC,,,,,,False,user
4NWnqzXN5nBUAkMcAAAD,,,,,,False,user
ddyJjk47OCkzWQrKAAAF,,,,,,False,user
A-AycQX8N7K30Aj8AAAH,,,,,,False,user
07q0_EAMLDGhWRjHAAAF,,,,,,False,user
JjAW5ZssTzyFqrlaAAAH,,,,,,False,user
Ov3EKBC8ANXcPYQ5AAAH,,,,,,False,user
m-I1uIwqmQnA59rkAAAJ,,,,,,False,user
Dl6oA5EiP7PzQK3GAAAF,,,,,,False,user
91Myt_7vfTlEb5NTAAAH,,,,,,False,user
c3KqDd_7jnnMotzVAAAF,,,,,,False,user
5PyrSWPx8eCZpbnKAAAH,,,,,,False,user
nT0fmFaeXklZ1pt4AAAF,,,,,,False,user
wHGqUbJsG0Qt1b4hAAAH,,,,,,False,user
q0jb5-g-cTbXBL92AAAF,,,,,,False,user
KUzWEcpuNKpsGO3RAAAH,,,,,,False,user
_hYkXZIwrLxdcwGfAAAB,,,,,,False,user
It532rlreY1QfZLdAAAD,,,,,,False,user
Sh7GbcUwQTKbwFDmAAAF,,,,,,False,user
NgaxLiEFAG7p3urUAAAH,,,,,,False,user
3SMc7y8FcgO49BH_AAAJ,,,,,,False,user
Z883NWu8QxsUmeQYAAAL,,,,,,False,user
ixrWlztkqf4zYza0AAAD,,,,,,False,user
GG6AvWN_om7d1v83AAAH,,,,,,False,user
d-TzEuR86VRlS8vMAAAJ,,,,,,False,user
s0I2leEmdC16rFcXAAAL,,,,,,False,user
4jX8ra-8daRCJR0xAAAH,,,,,,False,user
zeIC3eJCvab-hxKzAAAJ,,,,,,False,user
uz2SBAqNMOQzl0rDAAAL,,,,,,False,user
B83EibVeKXvHFPpbAAAB,,,,,,False,user
emvhtUGi5w0VxKYtAAAF,,,,,,False,user
FgEgkJ2ukxAv7yKBAAAP,,,,,,False,user
h54xOd73m-rhWYjKAAAR,,,,,,False,user
lLgIupS1yRqa_raeAAAH,,,,,,False,user
J84QF3WTuXBe8GWsAAAJ,,,,,,False,user
UMi2rNPIWvEbnFkZAAAL,,,,,,False,user
v4U9NyxmRdReVRHIAAAB,,,,,,False,user
tZrTXAi4FJWC751HAAAD,,,,,,False,user
oRM4dMJQfDqrrZLFAAAF,,,,,,False,user
pr2Ly1UeKWkyRfUuAAAN,,,,,,False,user
eetbpgsyEP8_GApRAAAP,,,,,,False,user
7unm4o9Wia0VsnsJAAAR,,,,,,False,user
Gzs4SnAlACEJbG0lAAAC,,,,,,False,user
wLkAPlypjA3j9UpUAAAF,,,,,,False,user
vVbx7hpqnnzFcX2cAAAH,,,,,,False,user
uGAsTsHMlkMi7AfCAAAH,,,,,,False,user
3eftjFTYrmfnW-LNAAAJ,,,,,,False,user
KpkTPv2-sqoZmBXfAAAL,,,,,,False,user
USnlBBBaVxVFIgCuAAAH,,,,,,False,user
aw7s4QxbOD6UWVxPAAAJ,,,,,,False,user
JUi-IRi_GZTptbu9AAAL,,,,,,False,user
sfUYVW1YmGUlQ-sFAAAH,,,,,,False,user
OQDxxarzVVYw5bK9AAAJ,,,,,,False,user
VCgLe-_hxMoqcsAfAAAL,,,,,,False,user
WqtqyC9QZWpXShZfAAAB,,,,,,False,user
QKjSh3U9QOxDeu4gAAAF,,,,,,False,user
k89UL4zc5bDfBFyhAAAH,,,,,,False,user
2ZopSmBqeh3ZnHikAAAE,,,,,,False,user
q2KtS82nDWT1WFr2AAAH,,,,,,False,user
7gcxSzuq-LD5s24jAAAJ,,,,,,False,user
JLZ3ku-RjlaMiI6_AAAC,,,,,,False,user
ZYMkblJEhNX1dC_nAAAF,,,,,,False,user
fNsl1bv46Ao7ZMZDAAAB,,,,,,False,user
9_G31MDMX15L3EsUAAAD,,,,,,False,user
5Mkx_nT512iDPqw7AAAF,,,,,,False,user
jtJ_8sZ2rUZL-q7FAAAH,,,,,,False,user
fWEqygfqGdu5w4GwAAAJ,,,,,,False,user
dPR8HnKTztPVsW6JAAAL,,,,,,False,user
qOD1UmYOgjMhKNMwAAAD,,,,,,False,user
OIh57-P6KeFxuNHrAAAG,,,,,,False,user
his_GILuKL78FrGJAAAJ,,,,,,False,user
VwLb9p-RjqHyk_oaAAAJ,,,,,,False,user
gfgrzCWJxZiqHkzDAAAL,,,,,,False,user
GpUFVErHgCNdW1owAAAN,,,,,,False,user
h1g9aA19497YYJNqAAAJ,,,,,,False,user
eNBHxm7y7zXJutxiAAAL,,,,,,False,user
dxYo_y3E3FwiPaIBAAAN,,,,,,False,user
Ib1XJa3uQYX25uQVAAAP,,,,,,False,user
iWAVtUMrr6dSvJZfAAAB,,,,,,False,user
0AkHxeWkRifLgKThAAAH,,,,,,False,user
JhxUYQWftlRoD0r_AAAC,,,,,,False,user
ceRsEXgYeaJMK0npAAAJ,,,,,,False,user
K-a6Zm7kGDExbQ9OAAAL,,,,,,False,user
aXjBwmGKvDB-Gm3HAAAN,,,,,,False,user
KvEJafBK9Bd6revSAAAD,,,,,,False,user
WjmxwwWTpJg2VBOhAAAJ,,,,,,False,user
dJGBlyYwFYEPqkzmAAAL,,,,,,False,user
r3zwWeaJw3BpMtciAAAN,,,,,,False,user
4eI4cgVP9wVs9s5VAAAJ,,,,,,False,user
C18Cn-exJgcN4q-MAAAL,,,,,,False,user
CTk03Mv35Z_wYbFfAAAN,,,,,,False,user
Al6J_kq3YuogcVjQAAAP,,,,,,False,user
0BHsgNLbN60RUZkCAAAJ,,,,,,False,user
sf56IxwAYTQQ5RP4AAAL,,,,,,False,user
7-qM-xD9mmT5Kn-AAAAN,,,,,,False,user
4lRn6OJ0bTykmu3oAAAP,,,,,,False,user
fF3mAR0tW5s9NeLkAAAG,,,,,,False,user
czrROvIK2RUXnijIAAAJ,,,,,,False,user
rmekNsgN6DVDnN6LAAAL,,,,,,False,user
kAJoZv2gehedLlMoAAAN,,,,,,False,user
zHHqOrYYBwBja5KhAAAP,,,,,,False,user
29TpdqQfDXfIc1w2AAAL,,,,,,False,user
enSQkvdFHHFKXI0mAAAN,,,,,,False,user
sQH5nTyNw-3gTlw7AAAP,,,,,,False,user
K7CQc7njuSL7kTUVAAAR,,,,,,False,user
2_Xwf2FkfwHNGUDyAAAK,,,,,,False,user
b4X40gZu7mBhbhuUAAAM,,,,,,False,user
skf8u0i6SzPqJZPKAAAO,,,,,,False,user
HN9zRJXR35DlzM0_AAAQ,,,,,,False,user
k8pfTMtNWccxvweJAAAL,,,,,,False,user
XhEsLvbC1I8OUB8sAAAN,,,,,,False,user
YzpZNUT4vyzHBbvsAAAP,,,,,,False,user
b7q8ooDTo3OMvPWJAAAR,,,,,,False,user
ZexhcKgN1M_w0UKGAAAT,,,,,,False,user
kpIg4A0NkRVpnEdGAAAG,,,,,,False,user
dFCama8f-gFP5sjBAAAL,,,,,,False,user
mw_phZ1Oc8h7S7GtAAAN,,,,,,False,user
Hl7joPAlKoPy-h1nAAAP,,,,,,False,user
dr2NmEKk5f34nxDlAAAR,,,,,,False,user
pkGkSgtBi9T-LWsIAAAB,,,,,,False,user
LDZESacig2bUK0d7AAAL,,,,,,False,user
2-0isGXiP2Qq-Jd4AAAO,,,,,,False,user
dv_dJjxh1s8uale1AAAP,,,,,,False,user
ZRu5HH3gENxMi6rnAAAR,,,,,,False,user
3DUr_bc91OCBmzFPAAAF,,,,,,False,user
NHyb9QM7IxqzqejtAAAH,,,,,,False,user
XPVVUbUtFMbDPx3yAAAJ,,,,,,False,user
goCyB8HLfVUZuqwjAAAL,,,,,,False,user
G6vCBqYBigi5y7mYAAAL,,,,,,False,user
3FbBqIDo_fJYyUmBAAAR,,,,,,False,user
HbBWL9CQJFGK66BeAAAB,,,,,,False,user
PUFVRlcpoqX7pwr4AAAB,,,,,,False,user
0rom5MhGHi7TZCq2AAAH,,,,,,False,user
iNts6JR6Y27ijUpcAAAD,,,,,,False,user
vuRS-_q8sJEwjSMFAAAF,,,,,,False,user
uVRt7KToT7fziiTcAAAH,,,,,,False,user
huHXvtBMROnTfj0mAAAB,,,,,,False,user
nGXjE7MzDfRNa1DDAAAD,,,,,,False,user
jjRBBHNkesqYQnDwAAAB,,,,,,False,user
fzzkB_PofpeZkgJWAAAD,,,,,,False,user
Kcn0lte3_SjXgP9rAAAB,,,,,,False,user
MTpRVFBzPwcqNNrxAAAD,,,,,,False,user
PwSE1Y5fENtio9kRAAAB,,,,,,False,user
67df49VfDZd0XcSmAAAD,,,,,,False,user
lDGyc1Inuk8SHPV8AAAB,,,,,,False,user
Z_pODh_KX5aPkoPrAAAD,,,,,,False,user
iKmbeCoBzTUWvuibAAAB,,,,,,False,user
wq9EdIgzxkP0e6sZAAAD,,,,,,False,user
tZeoTuySj60-6C0xAAAD,,,,,,False,user
4sWCqxnGvudP-CS-AAAF,,,,,,False,user
0mN9DK1Xhz1xtMsbAAAF,,,,,,False,user
ixQBnyFEePD1-59-AAAD,,,,,,False,user
oihIobED_kkTv9kGAAAF,,,,,,False,user
8GiEyTf40Lb0uZBbAAAB,,,,,,False,user
djRqVpuVjXsA__uPAAAD,,,,,,False,user
ryVypts2eHY96trOAAAF,,,,,,False,user
4HtZRhAbHD1kmV6ZAAAB,,,,,,False,user
3fIvzg7d0ixXMvn-AAAF,,,,,,False,user
3VV3DFN2YGWSW8EjAAAB,,,,,,False,user
3MVsGEuUUxsEVkljAAAD,,,,,,False,user
x93t311rmxSR_fxqAAAF,,,,,,False,user
7E-B4QhKjZb-dcnGAAAB,,,,,,False,user
qn_ryXmgxzG_hkwkAAAD,,,,,,False,user
0x_vRbLKWDW5aDTEAAAF,,,,,,False,user
qiRP5LaNI5LQXsppAAAB,,,,,,False,user
0-FIe71KGSZDQzuFAAAF,,,,,,False,user
VfZYtHlawHp6VXKqAAAB,,,,,,False,user
vwaT7lJEzj2AfI-5AAAD,,,,,,False,user
Ah0v2-wOO2MR0tUfAAAF,,,,,,False,user
JbDkgD0xDhITjje5AAAB,,,,,,False,user
lKia1GCaDldQ9ZneAAAD,,,,,,False,user
XN54c_5DnYbq2b26AAAF,,,,,,False,user
n7THwnbl6qyeVoF_AAAB,,,,,,False,user
l6fu8e2sq_HUw7r3AAAD,,,,,,False,user
zbMwMA9PBUa0WmXpAAAF,,,,,,False,user
7c1j0QpmkklyXWUCAAAF,,,,,,False,user
g6Lv7i7oRqtT6zZ0AAAD,,,,,,False,user
mgsgLY2uwzP9HoVQAAAB,,,,,,False,user
Z53lCKGks58wyLG0AAAB,,,,,,False,user
xeP2eTnpqFKm-NMKAAAD,,,,,,False,user
0NsjavGiM0Wpn78KAAAD,,,,,,False,user
Wlali8GxSkN90cEkAAAF,,null,null,null,null,False,user
